Domanda;A;B;C;D;Risposta
A 83. A cosa serve lo smart packaging?;tutte le altre risposte sono errate;Per la lotta alla contraffazione e alla protezione del marchio, per certificare la provenienza di un prodotto o il suo stato di integrità;Per la lotta alla contraffazione e alla protezione del marchio e per certificare la consegna di un prodotto;Per la lotta alla contraffazione e alla protezione del marchio;B
A 84. Quale è la caratteristica fondamentale della Blockchain?;La creazione di una rete, ma il trasferimento di informazioni attraverso il network necessita di un intermediario specializzato;tutte le altre risposte sono errate;La creazione di una rete talmente grande e pervasiva che il trasferimento di informazioni attraverso il network non necessita di un intermediario specializzato;La creazione di una rete talmente grande e pervasiva;C
A 85. Cosa è tecnicamente la blockchain ?;Un database distribuito che presenta la fondamentale caratteristica dell’immutabilità;tutte le altre risposte sono errate;Un software che presenta la fondamentale caratteristica dell’immutabilità;Un software;A
A 86. La sicurezza del sistema blockchain da cosa è garantiita?;tutte le altre risposte sono errate;dalla crittografia avanzata;dalla crittografia avanzata e dall’enorme potenza di calcolo necessaria per modificare i blocchi;dalla crittografia avanzata e dall’enorme potenza di calcolo necessaria per modificare un singolo elemento in un blocco;D
A 87. Cosa sono gli smart contract?;dei software basati sulla tecnologia open source;dei software basati sulla tecnologia blockchain;degli hardware basati sulla tecnologia blockchain;tutte le altre risposte sono errate;B
A 88. Cosa è lo smart packaging?;Un sistema di imballaggio utilizzato con alimenti , prodotti farmaceutici ecc. che aiuta a migliorare la sicurezza ed evitare la contraffazione;Un sistema di imballaggio;tutte le altre risposte sono errate;Un sistema di imballaggio utilizzato con alimenti , prodotti farmaceutici ecc. che aiuta a prolungare la shelf life, monitorare la freschezza, visualizzare informazioni sulla qualità, migliorare la sicurezza ed evitare la contraffazione;D
A 89. Perché vengono utilizzzate le attività di proximity marketing?;Perché permettono un dialogo diretto tra consumatore e scaffale attraverso una customer experience personalizzata e più fidelizzante;tutte le altre risposte sono errate;Perché permettono un dialogo diretto tra consumatore e scaffale;Perché permettono un dialogo diretto tra consumatore e venditore attraverso una customer experience personalizzata e più fidelizzante;A
A 90. Come si potrebbero certificare i i requisiti di autenticità o proprietà di un prodotto?;Attraverso la scannerizzazione di un oggetto dotato di tecnologia NFC, le informazioni su un prodotto potrebbero essere condivise in rete e collegate in tempo reale alla banca dati creata dalle istituzioni;Attraverso la scannerizzazione di un oggetto dotato di tecnologia open source, le informazioni su un prodotto potrebbero essere condivise in rete e collegate in tempo reale alla banca dati creata dalle istituzioni;tutte le altre risposte sono errate;Attraverso la scannerizzazione di un oggetto dotato di tecnologia RFID le informazioni su un prodotto potrebbero essere condivise in rete e collegate in tempo reale alla banca dati creata dalle istituzioni;A
A 91. Il 5G infatti permetterà connessioni mobili ad altissima velocità;circa 100 Mbit/s (Megabit per secondo) in download e di circa 50 Mbit/s in upload con una latenza prevista intorno ai 4 millisecondi, contro i 20 dell’LTE.;tutte le altre risposte sono errate;circa 10 Mbit/s (Megabit per secondo) in download e di circa 5 Mbit/s in upload con una latenza prevista intorno ai 4 millisecondi, contro i 20 dell’LTE.;circa 1000 Mbit/s (Megabit per secondo) in download e di circa 500 Mbit/s in upload con una latenza prevista intorno ai 4 millisecondi, contro i 20 dell’LTE.;A
A 92. Quale stima di crescita dei dispositivi intelligenti si prevede grazie al 5G?;Il 5G consentirà all’IoT di passare dagli attuali 20 miliardi di dispositivi connessi ai circa 80 miliardi ipotizzati per il 2025.;Il 5G consentirà all’IoT di passare dagli attuali 20 miliardi di dispositivi connessi ai circa 40 miliardi ipotizzati per il 2025.;tutte le altre risposte sono errate;Il 5G consentirà all’IoT di passare dagli attuali 20 miliardi di dispositivi connessi ai circa 30 miliardi ipotizzati per il 2025.;A
A 93. Tra i servizi avanzati appartenenti alla categoria dell’Enhanced Mobile Broadband cosa rientra?;tutte quei software che prevedono tipicamente come requisiti chiave di supportare un throughput estremamente elevato (anche +10Gbps) e una latenza inferiore ai 5 millisecondi, fornendo al tempo stesso servizi affidabili, di qualità e altamente efficienti;tutte quelle applicazioni che prevedono tipicamente come requisiti chiave di supportare un throughput estremamente elevato (anche +10Gbps) e una latenza inferiore ai 5 millisecondi, fornendo al tempo stesso servizi affidabili, di qualità e altamente efficienti;tutte le altre risposte sono errate;tutte quelle applicazioni che prevedono tipicamente come requisiti chiave di supportare un throughput estremamente elevato(anche +10Gbps) e una latenza inferiore ai 50 millisecondi, fornendo al tempo stesso servizi affidabili, di qualità e altamente efficienti;B
A 94. Negli use-case IoT Mission Critical Machine-Type cosa si annoverano?;Le applicazioni che necessitano di performance particolarmente elevate in termini di affidabilità del servizio, di latenza (inferiore ai 20ms) e di mobilità (anche superiore ai 50Km/h);Le applicazioni che necessitano di performance particolarmente elevate in termini di affidabilità del servizio, di latenza (inferiore ai 10ms) e di mobilità (anche superiore ai 50Km/h);Le applicazioni che necessitano di performance particolarmente elevate in termini di affidabilità del servizio, di latenza e dimobilità;tutte le altre risposte sono errate;C
A 95. Cosa sono le reti 3GPP e LTE?;tecniche di comunicazione più coinvolgenti per la connettività, che offrono sistemi con ampia copertura, bassi costi di implementazione, alto livello di sicurezza, accesso a spettro dedicato e semplicità di gestione;tecniche di comunicazione più coinvolgenti per la connettività IoT, che offrono sistemi IoT con ampia copertura, bassi costi di implementazione e alto livello di sicurezza;tecniche di comunicazione più coinvolgenti per la connettività IoT, che offrono sistemi IoT con ampia copertura, bassi costidi implementazione, alto livello di sicurezza, accesso a spettro dedicato e semplicità di gestione;tutte le altre risposte sono errate;C
A 96. Quanti tipi di standard prevede la standardizzazione dell’IoT 5G?;standard tecnologici e normativi;standardnormativi;standard tecnologici;tutte le altre risposte sono errate;A
A 97. Le soluzioni di sicurezza e privacy 5G in IoT quale meccanismo di protezione prevederà?;end-to-end e Blockchain;Blockchain;tutte le altre risposte sono errate;end-to-end;D
"A 98. Cosa si intende per ""Massive IoT""";Descrizione dell'enorme numero di sensori e dispositivi IoT che interagiscono reciprocamente e condividono i dati senza assistenza umana;Descrizione dell'enorme numero di sensori e dispositivi IoT che interagiscono reciprocamente e condividono i dati co l'ausilio dell' assistenza umana;Descrizione dell'enorme numero di dispositivi che interagiscono reciprocamente e condividono i dati senza assistenza umana;tutte le altre risposte sono errate;B
A 99. Cosa si intende per 5G?;"tecnologie e standard di ""quinta generazione"" con prestazioni e velocità simili a quelli della precedente tecnologia 4G/IMT- Advanced";"tecnologie e standard di ""quinta generazione"" con prestazioni e velocità superiori a quelli della precedente tecnologia 3G/IMT-Advanced";"tecnologie e standard di ""quinta generazione"" con prestazioni e velocità superiori a quelli della precedente tecnologia 4G/IMT-Advanced";tutte le altre risposte sono errate;C
A 100. A proposito di i5G-IoT l’Industry IoT (IIoT) quali sfide sta, per esempio, affrontando?;affidabilità, tempo, robustezza della connessione,riduzione dei costi.;tutte le altre risposte sono errate;affidabilità, tempo, robustezza della connessione,ecc.;affidabilità e riduzione dei costi.;C
A 101. Cosa sono le reti neurali?;modelli di calcolo matematico-informatici basati sul funzionamento delle reti neurali biologiche, ossia modelli costituiti da interconnessioni di informazioni;modelli matematico-informatici basati sul funzionamento delle reti neurali biologiche, ossia modelli costituiti da interconnessioni di informazioni;modelli di calcolo basati sul funzionamento delle reti neurali biologiche, ossia modelli costituiti da interconnessioni di informazioni;tutte le altre risposte sono errate;A
A 102. Da cosa sono formate le reti neurali cerebrali;neuroni biologici;neuroni interconnessi;tutte le altre risposte sono errate;neuroni biologici interconnessi;D
A 103. Cosa sono i sistemi esperti?;tutte le altre risposte sono errate;applicazioni che rientrano nella branca dell’intelligenza artificiale perché riproducono artificialmente le prestazioni di una persona esperta di un determinato dominio di conoscenza o campo di attività;applicazioni che rientrano nella branca dell’intelligenza artificiale perché riproducono artificialmente le prestazioni di una persona esperta;applicazioni che rientrano nella branca dell’intelligenza artificiale perché riproducono artificialmente le prestazioni di unaPersona;B
A 104. I sistemi esperti sono strutturati differenti livelli tecnologici. Quali sono?;"base di conoscenza artificiale; motore inferenziale; interfaccia utente";tutte le altre risposte sono errate;"base di conoscenza; interfaccia utente";"base di conoscenza; motore inferenziale; interfaccia utente";D
A 105. Le reti neurali sono formate da tre strati;tutte le altre risposte sono errate;"lo strato degli ingressi; lo stratoHidden; lo strato output";"lo strato degli ingressi; lo strato H – Hidden; lo strato di uscita";"lo strato delle uscite; lo stratoHidden; lo strato output";C
A 106. Il Machine Learning insegna ai computer e ai robot a fare azioni ed attività in modo naturale come gli esseri umani o gli animali;imparando dall’esperienza;attraverso diversi linguaggi;tutte le altre risposte sono errate;grazie al modo in cui viene programmato;A
A 107. Cosa sono gli “alberi delle decisioni”?;sistemi basati su grafici attraverso i quali vengono sviluppati modelli predittivi;sistemi basati su grafici attraverso i quali vengono sviluppati modelli predittivi con cui è possibile scoprire le conseguenze di determinate decisioni;sistemi attraverso i quali vengono sviluppati modelli predittivi con cui è possibile scoprire le conseguenze di determinate decisioni;tutte le altre risposte sono errate;B
A 108. Su cosa basano l'apprendimento del sistema i “modelli probabilistici” ?;sulla base del calcolo delle probabilità;sulla base del calcolo delle possibilità;tutte le altre risposte sono errate;sulla base del calcolo delle possibili probabilità;A
A 109. Gli algoritmi di Machine Learning usano metodi matematico-computazionali;per apprendere informazioni direttamente dai dati, senza modelli matematici ed equazioni predeterminate;per apprendere informazioni direttamente dai dati, senza modelli matematici e con equazioni predeterminate;per apprendere informazioni direttamente dai dati, con modelli matematici ed equazioni predeterminate;tutte le altre risposte sono errate;A
A 110. Il machine learning opera sulla base di diversi approcci che permettono di differenziare l’apprendimento automatico in sottocategorie;apprendimento supervisionato, apprendimento non supervisionato, apprendimento per rinforzo ed apprendimento visionato;apprendimento supervisionato, apprendimento non supervisionato ed apprendimento semi supervisionato;apprendimento supervisionato, apprendimento non supervisionato, apprendimento per rinforzo ed apprendimento semi supervisionato;tutte le altre risposte sono errate;C
A 111. Quali sono le tre principali applicazioni di Intelligenza Artificiale che rappresentano il maggior valore a breve termine?;"la chirurgia assistita a distanza; gli assistenti infermieristici virtuali; l'assistenza per il flusso di lavoro amministrativo";"la chirurgia assistita da robot; gli assistenti infermieristici virtuali; l'assistenza virtuale per il flusso di lavoro amministrativo";tutte le altre risposte sono errate;"la chirurgia assistita da robot; gli assistenti infermieristici virtuali; l'assistenza per il flusso di lavoro amministrativo";D
A 112. Quale è lo scopo del libro bianco presentato dalla Commissione Europea il 19 Febbraio 2020 ?;promuovere l'adozione dell'IA;"promuovere l'adozione dell'IA e affrontare i rischi associati a determinati utilizzi di questa nuova tecnologia; promuovere lo sviluppo e la diffusione dell' Intelligenza Artificiale basandosi sui valori europei; creare un quadro giuridico e normativo che non ostacoli la diffusione del progresso.";tutte le altre risposte sono errate;"promuovere l'adozione dell'IA e affrontare i rischi associati a determinati utilizzi di questa nuova tecnologia; promuovere lo sviluppo e la diffusione dell' Intelligenza Artificiale basandosi sui valori internazionali; creare un quadro giuridico e normativo che non ostacoli la diffusione del progresso.";B
A 113. In che modo l dovrebbero quindi esser programmate le tecnologie per gli anziani e idisabili?;tutte le altre risposte sono errate;in modo da potergli consentire di mantenere il controllo decisionale in modo autonomo e allo stesso tempo essere in grado di adattarsi a cambiamenti imprevisti;in modo da potergli consentire di adattarsi a cambiamenti imprevisti;in modo da potergli consentire di mantenere il controllo decisionale in modo autonomo;B
A 114. Elenca alcuni vantaggi che vantaggi potrebbe apportare una maggiore integrazione di strumenti di intelligenza artificiale nelle applicazioni mediche quotidiane;tutte le altre risposte sono errate;migliorare l'efficienza dei trattamenti ed evitare i costi riducendo al minimo i rischi di falsa diagnosi, facilitando una pianificazione preoperatoria più mirata e riducendo il rischio di complicanze intraoperatorie;migliorare l'efficienza dei trattamenti ed evitare i costi riducendo al minimo i rischi di falsa diagnosi, facilitando una pianificazione preoperatoria più mirata;evitare i costi riducendo al minimo i rischi di falsa diagnosi, facilitando una pianificazione preoperatoria più mirata e riducendo il rischio di complicanze intraoperatorie;B
A 115. In che modo robotica cognitiva può integrare le informazioni delle cartelle cliniche preoperatorie?;con metriche operative in tempo reale per guidare fisicamente e migliorare la precisione degli strumenti del medico;con metriche operative in tempo reale per guidare fisicamente e migliorare la precisione degli interventi del medico;con metriche operative asincrone per guidare fisicamente e migliorare la precisione degli strumenti del medico;tutte le altre risposte sono errate;A
A 116. Cosa si intende per data persistence?;tutte le altre risposte sono errate;sono dati che, una volta creati, potrebbero potenzialmente persistere più dati i bassi costi di archiviazione di tali dati;sono dati che, una volta creati, potrebbero potenzialmente persistere più a lungo rispetto all'essere umano che li ha creati, dati i bassi costi di archiviazione di tali dati;sono dati che, una volta creati, potrebbero potenzialmente persistere più a lungo rispetto all'essere umano che li ha creati;C
A 117. In che modo possono essere utilizzati i data repurposing?;tutte le altre risposte sono errate;Una volta creati, tali dati possono essere riproposti indefinitamente.;Una volta creati, tali dati possono essere riproposti indefinitamente solo per alcune tematiche;Una volta creati, tali dati possono essere riproposti solo per poche volte;B
A 118. Perché c’è un rapporto asimmetrico tra chi fornisce i propri dati e chi, quei dati, li sfrutta?;tutte le altre risposte sono errate;perché coloro che gestiscono le piattaforme digitali dispongono degli standard tecnologici dominanti e, quindi, il rapporto si risolve a favore di chi i dati li sfrutta;perché coloro che gestiscono le piattaforme digitali dispongono degli standard tecnologici dominanti;perché coloro che gestiscono le piattaforme digitali dispongono degli standard tecnologici dominanti e, quindi, il rapporto si risolva a favore di chi li fornisce;B
A 119. Sul fronte della classificazione dei beni economici, la privacy mostra tratti riconducibili;tutte le altre risposte sono errate;ai beni di consumo;ai beni strumentali e a quelli di consumo;ai beni strumentali;C
A 120. I consumatori sono disposti a cedere i loro dati personali, quindi la loro privacy;in cambio di ottenere i servizi offerti dalle imprese, le quali propongono ai consumatori servizi personalizzati e vendono spazi pubblicitari mirati.;tutte le altre risposte sono errate;in cambio di ottenere i servizi offerti dalle imprese;in cambio di ottenere i servizi offerti dalle imprese, le quali propongono ai consumatori servizi anche non personalizzati;A
A 121. Una delle principali caratteristiche di una entità, dotata di Intelligenza Artificiale sviluppata separatamente rispetto all’essere umano dotata di sufficiente intelligenza, è che agirà perseguendo;tutte le altre risposte sono errate;obiettivi intermedi o dettati da esigenze di base strumentali al raggiungimento di qualunque obiettivo finale.;obiettivi finali.;obiettivi intermedi e finali.;B
A 122. Cosa occorerebbe fare, secondo molti ricercatori e scienziati, per creare non solo una super intelligenza, ma anche per democratizzare l’accesso all’ Intelligenza Artificiale?;centralizzare l’ Intelligenza Artificiale e fare in modo che possa essere progettata, sviluppata e controllata da una grande rete internazionale attraverso la programmazione open source;tutte le altre risposte sono errate;decentralizzare l’ Intelligenza Artificiale;decentralizzare l’ Intelligenza Artificiale e fare in modo che possa essere progettata, sviluppata e controllata da una grande rete internazionale attraverso la programmazione open source;D
A 123. Perché viene affermato che la ‘Blockchain’ è ciò che serve per controllare in modo semplice l’intero processo decisionale dell’ Intelligenza Artificiale?;tutte le altre risposte sono errate;perché l'uso di tale tecnologia consente registrazioni di tutti i dati, di tutte le variabili e di tutti i processi utilizzati dalle Intelligenze Artificiali per arrivare alle loro conclusioni o decisioni;perché l'uso di tale tecnologia consente registrazioni immutabili di tutti i dati;perché l'uso di tale tecnologia consente registrazioni immutabili di tutti i dati, di tutte le variabili e di tutti i processi utilizzati dalle Intelligenze Artificiali per arrivare alle loro conclusioni o decisioni;D
A 124. Perché nasce il concetto odierno di decentralizzazione dell’ Intelligenza Artificiale?;per risolvere il problema legato alla diffusione dell'Intelligenza Artificiale, punto focale per le applicazioni decentralizzate e per la validazione dei dati raccolti e generati.;per risolvere il problema di validazione degli algoritmi di Intelligenza Artificiale, punto focale per le applicazioni decentralizzate e per la validazione dei dati raccolti e generati.;per risolvere il problema di sviluppo degli algoritmi di Intelligenza Artificiale, punto focale per le applicazioni decentralizzate e per la validazione dei dati raccolti e generati.;tutte le altre risposte sono errate;B
A 125. Cosa si intende per “roboetica”?;etica applicata alla robotica, il cui scopo è diffindere strumenti e conoscenze scientifiche, culturali e tecniche universalmente condivisi per promuovere ed incoraggiare lo sviluppo della robotica verso il benessere della società e della persona e prevenirne l’impiego contro gli esseri umani;etica applicata alla robotica, il cui scopo è sviluppare strumenti e conoscenze scientifiche, culturali e tecniche;etica applicata alla robotica, il cui scopo è sviluppare strumenti e conoscenze scientifiche, culturali e tecniche universalmente condivisi per promuovere ed incoraggiare lo sviluppo della robotica verso il benessere della società e della persona e prevenirne l’impiego contro gli esseri umani;tutte le altre risposte sono errate;C
A 126. L'Internet of Medical Things è l'infrastruttura:;di dispositivi intelligenti, sistemi sanitari e servizi intelligenti;di software, sistemi sanitari e servizi intelligenti;di dispositivi intelligenti, software, sistemi sanitari e servizi intelligenti;tutte le altre risposte sono errate;C
A 127. A chi possono, in generale, essere rivolti tutti i dispositivi e le soluzioni basati su Internet of Things in ambito sanitario?;pazienti;medici;tutte le altre risposte sono errate;medici e pazienti;D
A 128. Una delle caratteristiche chiave delle soluzioni Internet of Medical Things è:;tutte le altre risposte sono errate;a fornitura remota di alcuni servizi;a fornitura di alcune prestazioni;a fornitura di alcuni servizi;B
A 129. Cosa sono i i sensori del CGM systems?;sensori impiantabili, dotati di allarmi anche predittivi per i livelli di glucosio al di fuori dei range desiderati e capaci di inviare i dati ad uno smartphone e il pancreas artificiale;tutte le altre risposte sono errate;sensori impiantabili, dotati di allarmi solo predittivi per i livelli di glucosio al di fuori dei range desiderati e capaci di inviare i dati ad uno smartphone e il pancreas artificiale;sensori impiantabili, dotati di allarmi non predittivi per i livelli di glucosio al di fuori dei range desiderati e capaci di inviare i dati ad uno smartphone e il pancreas artificiale;A
A 130. Quale vantaggio consente l’uso di Smart Contract ?;di velocizzare in modo sicuro la sperimentazione clinica;di automatizzare in modo sicuro la sperimentazione clinica;tutte le altre risposte sono errate;di velocizzare in modo sicuro la prestaazione sanitaria;B
A 131. Quando è stato istituito il Blockchain Observatory and Forum?;tutte le altre risposte sono errate;2109;2017;2018;D
A 132. Quale sarà il principale compito della European Blockchain Services Infrastructure;sviluppare servici pubblici nazionali usando la tecnologia blockchain;tutte le altre risposte sono errate;sviluppare servici pubblici usando la tecnologia blockchain;sviluppare servici pubblici transnazionali usando la tecnologia blockchain;D
A 133. Allo stato attuale in quante catogorie è possibile dividere le soluzioni di Internet of Medical Things?;5 categorie;3 categorie;tutte le altre risposte sono errate;4 categorie;D
A 134. La tracciabilità, implementabile attraverso l’applicazione di soluzioni di Internet of Medical Things, può diventare un caposaldo fondamentale al fine di garantire;livelli di sicurezza elevati, la prevenzione degli errori e la riduzione degli sprechi;tutte le altre risposte sono errate;livelli di sicurezza elevati e la riduzione degli sprechi;la prevenzione degli errori e la riduzione degli sprechi;A
A 135. Cosa richiedono i sensori impiantabili utilizzati per l’acquisizione di dati corporei?;tutte le altre risposte sono errate;una procedura ospedaliera per impiantarli esternamente al corpo del paziente;una procedura ospedaliera per impiantarli all’interno del corpo del paziente;una procedura per impiantarli all’interno del corpo del paziente;C
A 136. Quali sono i tre macro gruppi i cui vengono classificati i dispositivi medici?;"fissi; impiantati indossabili; esterni";tutte le altre risposte sono errate;"fissi indossabili; impiantati; esterni indossabili";"fissi; impiantati; esterni indossabili";D
A 137. I dispositivi esterni indossabili come rilevano, generalmente, i dati?;attraverso internet;tutte le altre risposte sono errate;attraverso sensori;attraverso wifi;C
A 138. In sanità per cosa possono essere impiegati prinicipalmente i vari sensori per il monitoraggio a distanza e non?;tutte le altre risposte sono errate;per il prelievo di informazioni sul paziente;per il prelievo di informazioni sul sangue, battiti cardiaci, temperatura corporea;per il prelievo dei dati sul paziente;C
"A 139. Cosa richiedono i sensori ""minimamente invasivi"" per funzionare correttamente?";il posizionamento esterno e la penetrazione nella pelle del paziente;la penetrazione nella pelle del paziente;tutte le altre risposte sono errate;il posizionamento esterno o la penetrazione nella pelle del paziente;B
A 140. L’Internet of Medical Things è l’intersezione;tutte le altre risposte sono errate;della sanità e della tecnologia;della sanità e dell'elettronica;della sanità e dell'informatica;B
A 141. Quando si parla di Internet of Medical Things si intende parlare di macchine (sensori digitali e smartphone connessi in una PAN Bluetooth per esempio) che parlano con altre macchine (Cloud server in grado di raccogliere i dati, tanti dati: Big Data), ma relativamente a cosa?;paramentri vitali e non vitali;paramentri legati alla temperatura corporea;tutte le altre risposte sono errate;paramentri vitali;D
A 142. cosa raccoglie al suo interno la Cartella Clinica Elettronica (CCE)?;tutti i dati clinici del paziente fino ad 1 anno dopo la degenza;tutte le altre risposte sono errate;l’intera storia clinica del paziente;tutti i dati clinici del paziente;D
A 143. Quale è la funzione del Fascicolo Sanitario Elettronico (FSE)?;tracciare l’intera storia clinica del paziente;tracciare i dati clinici del paziente fino ad 1 anno dopo la degenza;tutte le altre risposte sono errate;tracciare tutti i dati clinici del paziente nel periodo di degenza;A
A 144. Quando entrerà in vigore il nuovo MDR (Regolamento Dispositivi Medici)?;27 magggio 2021;tutte le altre risposte sono errate;26 magggio 2021;26 magggio 2020;D
A 145. Cosa si intende per Tracciabilità?;che per ogni dato che rappresenti l'identità di qualcosa, (ad es. persona, entità giuridica, prodotto, dispositivo o bene) è possibile avere una traccia di tutti gli eventi e le transazioni relative a tale identità;che per ogni dato che rappresenti l'identità di qualcosa, (ad es. persona, entità giuridica, prodotto, dispositivo o bene) è possibile avere una traccia dell'evento e le transazioni relative a tale identità;tutte le altre risposte sono errate;che per ogni dato che rappresenti l'identità di qualcosa, (ad es. persona, entità giuridica, prodotto, dispositivo o bene) è possibile avere varie traccie di tutti gli eventi e le transazioni relative a tale identità;A
A 146. Quali sono le prinicipali soluzioni proposte dalla digital innovation in ambito sanitario?;applicazioni che permettono un monitoraggio da remoto mirato sul singolo paziente, piattaforma e portali che facilitano la comunicazione tra medici e familiari dei pazienti o tra gli stessi medici, soluzioni di robotica e di realtà virtuale che semplificano l’analisi diagnostica e terapeutica del medico e permettono di sostituire le pratiche chirurgiche invasive con micro incisioni e chirurgie laparoscopiche con un livello di invasività vicino allo zero.;applicazioni che permettono un monitoraggio da remoto mirato sul singolo paziente, piattaforma e portali che facilitano la comunicazione tra medici e pazienti o tra gli stessi medici, soluzioni di robotica e di realtà virtuale che semplificano l’analisi diagnostica e terapeutica del medico e permettono di sostituire le pratiche chirurgiche invasive con micro incisioni e chirurgie laparoscopiche con un livello di invasività vicino allo zero.;applicazioni che permettono un monitoraggio ma non da remoto mirato sul singolo paziente, piattaforma e portali che facilitano la comunicazione tra medici e pazienti o tra gli stessi medici, soluzioni di robotica e di realtà virtuale che semplificano l’analisi diagnostica e terapeutica del medico e permettono di sostituire le pratiche chirurgiche invasive con micro incisioni e chirurgie laparoscopiche con un livello di invasività vicino allo zero.;tutte le altre risposte sono errate;B
A 147. Cosa si intende per approcci “human and technological centred”?;approcci che considerano fondamentali i bisogni delle persone e il loro raggiungimento a partire dalla tecnologia e, in particolare, dall’inserimento dei connotati personali all’interno del progresso medico;tutte le altre risposte sono errate;approcci che considerano fondamentali i bisogni delle persone e dei loro familiari e il loro raggiungimento a partire dall’ inserimento dei connotati del digitale all’interno del progresso medico;approcci che considerano fondamentali i bisogni delle persone e il loro raggiungimento a partire dalla tecnologia e, in particolare, dall’inserimento dei connotati del digitale all’interno del progresso medico;D
A 148. Quales copo ha l’introduzione del digitale in sanità?;tutte le altre risposte sono errate;migliorare il rapporto costo-qualità dei servizi sanitari, limitare sprechi e inefficienze, evidenziare le differenze tra i territori, innovare le relazioni di front-end e mettere il paziente al centro dei percorsi di cura;migliorare il rapporto costo-qualità dei servizi sanitari, limitare sprechi e inefficienze, ridurre le differenze tra i territori, innovare le relazioni di front-end e mettere il paziente al centro dei percorsi di cura;migliorare il rapporto costo-qualità dei servizi professionali, limitare sprechi e inefficienze, ridurre le differenze tra i territori, innovare le relazioni di front-end e mettere il paziente al centro dei percorsi di cura;C
A 149. Come viene definita la Sanità Digitale in ambito tecnico?;tutte le altre risposte sono errate;la convergenza delle tecnologie digitali e genomiche nel settore sanitario;la convergenza delle tecnologie digitali e genomiche nel settore sanitario, in relazione alle caratteristiche delle strutture ospedaliere ed alle condizioni socio- demografiche dell’ambiente esterno.;la convergenza delle tecnologie digitali e genomiche nel settore sanitario, in relazione alle caratteristiche delle strutture ospedaliere;C
A 150. Nello specifico, la Sanità digitale per cosa viene utilizzata?;tutte le altre risposte sono errate;per favorire il processo di raccolta dei dati, tramite appositi dispositivi elettronici, e per svolgere analisi sanitarie;per favorire il processo di raccolta dei dati, tramite appositi dispositivi medici, e per svolgere analisi computazionali;per favorire il processo di raccolta dei dati, tramite appositi dispositivi elettronici, e per svolgere analisi computazionali;D
A 151. Quali sono le principali figure professionali che coinvolge la digitalizzazione del settore sanitario?;medici, ricercatori, personale sanitario e non sanitario;tutte le altre risposte sono errate;medici, ricercatori, personale sanitario;medici e ricercatori;C
A 152. Cosa si intende generalmente con sanità digitale?;tutte le altre risposte sono errate;una pratica medica supportata da dispositivi mobili quali smartphone, dispositivi di monitoraggio dei pazienti e altri dispositivi wireless;una pratica di salute pubblica supportata da dispositivi mobili quali smartphone, dispositivi di monitoraggio dei pazienti, PDAs e altri dispositivi wireless;una pratica medica e di salute pubblica supportata da dispositivi mobili quali smartphone, dispositivi di monitoraggio dei pazienti, PDAs e altri dispositivi wireless;C
A 153. quando è stata introdotta per la prima volta in Italia la Cartella Clinica Elettronica (CCE)?;tutte le altre risposte sono errate;2011;2012;2013;C
A 154. Quali sono i due pilastri fondamentali su cui si basa la tecnologia della blockchain?;controllo diffuso (peer-to-peer) e utilizzo degli algoritmi crittografici più avanzati;tutte le altre risposte sono errate;utilizzo degli algoritmi crittografici più avanzati;controllo diffuso (peer-to-peer);A
A 155. La blockchain consente di realizzare una catena, o meglio una rete, di nodi (blocchi) che hanno un duplice compito;archiviare in maniera sicura una serie di contratti o transazioni che avvengono tra due o più parti assieme a quello di controllare ed approvare parte delle transazioni che vengono archiviate dagli altri blocchi della rete;tutte le altre risposte sono errate;archiviare in maniera sicura una serie di contratti o transazioni che avvengono tra una o più parti assieme a quello di controllare ed approvare tutte le transazioni che vengono archiviate dagli altri blocchi della rete;archiviare in maniera sicura una serie di contratti o transazioni che avvengono tra due o più parti assieme a quello di controllare ed approvare tutte le transazioni che vengono archiviate dagli altri blocchi della rete;D
A 156. La tecnologia blockchain offre quattro caratteristiche intrinseche uniche, a determinate condizioni, a seconda del design e/o dell'implementazione. Quali sono?;"immutabilità; tracciabilità; trasparenza; distribuzione";"immutabilità; tracciabilità; innovazione; distribuzione";tutte le altre risposte sono errate;"immutabilità; tracciabilità; innovazione; trasparenza";A
A 157. Quali sono le più significative applicazioni che la blockchain può trovare in ambito sanitario?;tutte le altre risposte sono errate;"la tracciabilità dei farmaci; l’affidabilità dei trial clinici; la sicurezza dei dati genetici e non sensibili";"la tracciabilità dei farmaci; l’affidabilità dei trial clinici; la sicurezza dei dati genetici";"la tracciabilità dei farmaci; l’affidabilità dei trial clinici; la sicurezza dei dati genetici e particolarmente sensibili";D
A 158. Cosa garantiscono, in particolare, le soluzioni basate su BC di tipo permissioned?;la privacy e la sicurezza dei dati;la sicurezza dei dati e la tracciabilità;tutte le altre risposte sono errate;la privacy, la sicurezza dei dati e la tracciabilità;A
A 159. Cosa consente la criopreservazione delle cellule staminali, degli spermatozoi, degli ovociti, o di altro materiale biologico?;tutte le altre risposte sono errate;di mantenere inalterata la struttura e la funzione delle cellule, per un loro utilizzo nel tempo;di mantenere inalterata la struttura e la funzione delle cellule;di mantenere inalterata la struttura delle cellule, per un loro utilizzo nel tempo;B
